Title,Authors,Year,Frequency Score,Recency Score,Citation Score (To review),Citations,Regional Score,School Score,Manual Score,Final Score,Syllabi Count
Love and Money: A Theoretical and Empirical Analysis of Household Sorting and Inequality,"Fernandez, Raquel; Guner, Nezih; Knowles, John",2005,0.166666667,0.122456428,0,0,1,1,0,0.274491286,2
"Culture, Institutions and the Wealth of Nations","Gorodnichenko, Yury; Roland, Gerard",2012,0.166666667,0.246596964,0,0,1,0.75,0,0.274319393,2
"The History and Evolution of the Development Doctrine, 1950-2017","Thorbecke, Erik",2019,0.25,0.496585304,0,0,0,1,0,0.274317061,3
"Rogues, degenerates, and heroes: disobedience as politics in military organizations","Hundman, E.; Parkinson, SE",2019,0.083333333,0.496585304,0,0,1,0.5,0,0.274317061,1
Building State Capacity: Evidence from Biometric Smartcards in India,"Muralidharan, Karthik; Niehaus, Paul; Sukhtankar, Sandip",2016,0.166666667,0.367879441,0,0,1,0.5,0,0.273575888,2
Do Politicians Discriminate Against Internal Migrants? Evidence from Nationwide Field Experiments in India,"Gaikwad, Nikhar; Nellis, Gareth",2016,0.166666667,0.367879441,0,0,1,0.5,0,0.273575888,2
The Long-Run Effects of the Scramble for Africa,"Michalopoulos, Stelios; Papaioannou, Elias",2016,0.166666667,0.367879441,0,0,1,0.5,0,0.273575888,2
Buying Informed Voters: New Effects of Information on Voters and Candidates,"Cruz, Cesi; Keefer, Philip; Labonne, Julien",2016,0.166666667,0.367879441,0,0,1,0.5,0,0.273575888,2
Justifying dissent,Leonardo Bursztyn; Georgy Egorov; Ingar Haaland; Aakaash Rao; Christopher Roth,2023,0.25,0.740818221,0,0,0,0.5,0,0.273163644,3
From hashtag to hate crime: Twitter and anti-minority sentiment,Müller Karsten; Schwarz Carlo,2023,0.25,0.740818221,0,0,0,0.5,0,0.273163644,3
Greed and Grievance in Civil War,"Collier, Paul; Hoeffler, Anke",2004,0.333333333,0.110803158,0,0,1,0.5,0,0.272160632,4
Reevaluating Agricultural Productivity Gaps with Longitudinal Microdata,"Hicks, Joan Hamory; Kleemans, Marieke; Li, Nicholas Y.; Miguel, Edward",2021,0.166666667,0.60653066,0,0,1,0,0,0.271306132,2
The Causal Effect of Income Inequality on Attribution and Social Trust,"Albertazzi, A.; Mengel, Friederike; Lown, P.",2021,0.166666667,0.60653066,0,0,0,1,0,0.271306132,2
The Price of Political Opposition: Evidence from Venezuela's Maisanta,"Hsieh, Chang-Tai; Miguel, Edward; Ortega, Daniel; Rodriguez, Francisco",2011,0.333333333,0.22313016,0,0,1,0.25,0,0.269626032,4
Electoral Accountability and Corruption: Evidence from the Audits of Local Governments,"Ferraz, Claudio; Finan, Frederico",2011,0.583333333,0.22313016,0,0,0,0.5,0,0.269626032,7
"To Kill and Tell? State Power, Criminal Competition, and Drug Violence","Durán-Martínez, Angélica",2015,0.166666667,0.332871084,0,0,1,0.5,0,0.266574217,2
Strategic Mass Killings,"Esteban, Joan; Morelli, Massimo; Rohner, Dominic",2015,0.166666667,0.332871084,0,0,1,0.5,0,0.266574217,2
The Geography of Interstate Resource Wars,"Caselli, F.; Morelli, M.; Rohner, D.",2015,0.166666667,0.332871084,0,0,1,0.5,0,0.266574217,2
Education and Human Capital Externalities: Evidence from Colonial Benin,"Wantchekon, Leonard; Klasnja, Marko; Novta, Natalija",2015,0.166666667,0.332871084,0,0,1,0.5,0,0.266574217,2
Institutional Development and Colonial Heritage within Brazil,"Naritomi, Joana; Soares, Rodrigo R.; Assuncao, Julian J.",2012,0.166666667,0.246596964,0,0,1,0.666666667,0,0.265986059,2
Changing norms following the 2016 u.s. presidential election: The trump effect on prejudice,Christian S. Crandall; Jason M. Miller; Mark H. White,2018,0.25,0.449328964,0,0,0,1,0,0.264865793,3
Economía política de la política económica,Leopoldo Fergusson; Pablo Querubín,2018,0.416666667,0.449328964,0,0,0,0.5,0,0.264865793,5
State Capacity Redux: Integrating Classical and Experimental Contributions to an Enduring Debate,"Berwick, Elissa; Christia, Fotini",2018,0.083333333,0.449328964,0,0,1,0.5,0,0.264865793,1
Rape as a Practice of War: Toward a Typology of Political Violence,"Wood, Elisabeth Jean",2018,0.083333333,0.449328964,0,0,1,0.5,0,0.264865793,1
Political Economics: Explaining Economic Policy,"Persson, Torsten; Tabellini, Guido",2000,0.416666667,0.074273578,0,0,1,0.25,0,0.264854716,5
"Family Planning, Now and Later: Infertility Fears and Contraceptive Take-Up","Bau, N.; Henning, D.; Low, C.; Steinberg, B.",2024,0.166666667,0.818730753,0,0,0,0.5,0,0.263746151,2
Servicing Development: Productive Upgrading of Labor-Absorbing Services in Developing Economies,"Rodrik, Dani; Sandhu, Rohan",2024,0.166666667,0.818730753,0,0,0,0.5,0,0.263746151,2
Strengthening State Capacity: Civil Service Reform and Public Sector Performance during the Gilded Age,"Aneja, Abhay; Xu, Guo",2024,0.166666667,0.818730753,0,0,0,0.5,0,0.263746151,2
Selecting Top Bureaucrats: Admission Exams and Performance in Brazil,"Dahis, Ricardo; Schiavon, Laura; Scot, Thiago",2024,0.166666667,0.818730753,0,0,0,0.5,0,0.263746151,2
Participation in atrocities among Israeli soldiers during the first intifada: a qualitative analysis,"Elizur, Y.; Yishay-Krien, N.",2009,0.083333333,0.182683524,0,0,1,1,0,0.261536705,1
Cycles of Conflict: An Economic Model,"Acemoglu, Daron; Wolitzky, Alexander",2014,0.333333333,0.301194212,0,0,1,0,0,0.260238842,4
Valuing the Vote: The Redistribution of Voting Rights and State Funds Following the Voting Rights Act of 1965,"Cascio, Elisabeth; Washington, Ebonya",2014,0.166666667,0.301194212,0,0,1,0.5,0,0.260238842,2
Propaganda and Conflict: Evidence from the Rwandan Genocide,"Yanagizawa-Drott, David",2014,0.5,0.301194212,0,0,0,0.5,0,0.260238842,6
"Young, Restless and Creative: Openness to Disruption and Creative Innovations","Acemoglu, Daron; Akcigit, Ufuk; Celik, Murat Alp",2014,0.166666667,0.301194212,0,0,1,0.5,0,0.260238842,2
A Structured Approach to a Diagnostic of Collective Practices,"Bicchieri, C.; Lindemans, J. W.; Jiang, T.",2014,0.166666667,0.301194212,0,0,1,0.5,0,0.260238842,2
Informality: Causes and Consequences for Development,"Ulyssea, Gabriel",2020,0.166666667,0.548811636,0,0,0,1,0,0.259762327,2
